protein_id,is_chaperone,is_UPS,is_autophagy,is_aggregation_prone
P0001,False,False,False,False
P0002,False,False,False,False
P0003,False,False,False,False
P0004,False,False,False,False
P0005,False,False,False,True
P0006,False,False,False,False
P0007,False,False,False,False
P0008,False,False,False,False
P0009,False,False,False,True
P0010,False,False,False,False
P0011,False,False,False,False
P0012,False,False,False,False
P0013,False,False,False,False
P0014,False,False,False,False
P0015,False,False,False,False
P0016,False,False,False,False
P0017,False,False,False,False
P0018,False,False,False,True
P0019,False,True,False,False
P0020,False,False,False,False
P0021,False,False,False,False
P0022,False,False,False,False
P0023,False,False,True,False
P0024,False,False,False,False
P0025,False,False,False,False
P0026,False,False,False,False
P0027,False,False,False,False
P0028,False,False,False,False
P0029,False,False,False,False
P0030,False,False,False,False
P0031,False,False,True,False
P0032,False,False,False,True
P0033,False,False,False,False
P0034,False,False,False,False
P0035,False,False,False,False
P0036,False,False,False,False
P0037,False,False,False,False
P0038,False,False,True,True
P0039,False,False,False,False
P0040,False,False,False,False
P0041,False,False,False,False
P0042,False,False,False,False
P0043,False,False,False,False
P0044,False,False,False,False
P0045,False,True,False,False
P0046,False,False,False,False
P0047,False,False,False,False
P0048,False,False,False,False
P0049,False,False,False,False
P0050,False,False,False,False
P0051,False,False,False,False
P0052,True,False,True,True
P0053,False,False,False,False
P0054,False,False,False,False
P0055,False,False,False,False
P0056,False,False,False,False
P0057,False,False,False,False
P0058,False,False,False,False
P0059,False,False,False,False
P0060,False,False,False,False
P0061,False,False,False,False
P0062,False,False,False,False
P0063,False,False,False,False
P0064,False,False,False,False
P0065,False,False,False,False
P0066,False,False,False,False
P0067,False,False,False,False
P0068,False,False,False,False
P0069,True,True,False,False
P0070,False,False,False,False
P0071,False,False,False,True
P0072,False,False,False,False
P0073,False,False,False,False
P0074,False,False,False,False
P0075,False,False,False,False
P0076,False,False,False,False
P0077,False,False,False,False
P0078,False,False,False,False
P0079,False,False,False,False
P0080,False,False,False,False
P0081,False,False,False,False
P0082,False,False,False,False
P0083,False,False,False,False
P0084,False,False,False,False
P0085,True,False,False,False
P0086,False,False,False,False
P0087,False,False,False,False
P0088,False,False,False,False
P0089,False,False,False,False
P0090,False,False,False,False
P0091,False,False,False,False
P0092,False,False,False,False
P0093,False,False,False,False
P0094,False,False,False,False
P0095,False,False,False,False
P0096,False,False,False,True
P0097,False,False,False,True
P0098,False,False,False,False
P0099,False,False,False,False
P0100,False,False,False,False
P0101,False,True,False,False
P0102,False,False,False,False
P0103,False,False,False,False
P0104,False,False,False,False
P0105,False,False,False,False
P0106,False,False,False,False
P0107,False,False,False,False
P0108,False,False,False,False
P0109,False,False,False,False
P0110,False,False,False,False
P0111,False,False,False,False
P0112,False,False,False,False
P0113,False,False,False,False
P0114,False,False,False,False
P0115,False,False,True,False
P0116,False,False,False,False
P0117,False,False,False,False
P0118,False,False,False,False
P0119,False,False,False,False
P0120,False,False,False,False
P0121,False,False,False,False
P0122,False,False,False,False
P0123,False,False,False,False
P0124,False,False,False,False
P0125,False,False,False,False
P0126,False,False,False,False
P0127,False,False,False,False
P0128,False,False,False,False
P0129,False,False,False,False
P0130,False,False,True,False
P0131,False,False,False,False
P0132,False,False,False,False
P0133,False,False,False,True
P0134,False,False,False,True
P0135,False,False,False,False
P0136,True,False,False,False
P0137,False,False,False,False
P0138,False,False,False,True
P0139,False,True,False,False
P0140,False,False,False,False
P0141,False,False,False,False
P0142,False,False,False,False
P0143,False,False,False,False
P0144,False,False,False,True
P0145,False,False,False,False
P0146,False,False,False,False
P0147,False,False,False,False
P0148,False,False,False,False
P0149,False,False,False,False
P0150,True,False,False,False
P0151,False,False,False,True
P0152,False,False,False,False
P0153,False,False,False,False
P0154,False,False,False,False
P0155,False,False,False,False
P0156,False,False,False,False
P0157,False,True,False,True
P0158,False,True,False,True
P0159,False,False,False,False
P0160,False,False,False,False
P0161,False,True,False,False
P0162,False,False,False,False
P0163,False,False,False,False
P0164,True,False,False,False
P0165,False,False,False,False
P0166,False,False,False,False
P0167,False,False,False,True
P0168,False,False,False,False
P0169,False,False,False,True
P0170,False,False,False,False
P0171,False,False,False,False
P0172,False,False,False,False
P0173,False,False,False,False
P0174,False,False,False,False
P0175,False,False,False,False
P0176,False,False,False,True
P0177,False,False,False,False
P0178,False,False,False,False
P0179,False,False,False,True
P0180,False,False,False,False
P0181,False,False,False,False
P0182,False,False,False,False
P0183,False,False,False,False
P0184,False,False,False,False
P0185,False,False,False,True
P0186,False,False,False,True
P0187,False,False,False,False
P0188,False,False,False,False
P0189,False,False,False,False
P0190,False,False,False,False
P0191,False,False,False,False
P0192,False,False,False,True
P0193,False,False,False,False
P0194,False,False,False,False
P0195,False,False,False,False
P0196,False,False,False,False
P0197,False,False,False,False
P0198,False,False,False,True
P0199,False,False,False,False
P0200,False,False,False,False
P0201,False,False,False,False
P0202,False,False,False,False
P0203,False,False,False,False
P0204,False,False,False,False
P0205,True,True,False,False
P0206,False,True,False,False
P0207,False,False,False,True
P0208,False,False,False,True
P0209,False,False,False,False
P0210,False,False,False,True
P0211,False,False,False,False
P0212,False,False,False,False
P0213,False,False,False,False
P0214,False,False,False,False
P0215,False,False,False,False
P0216,False,False,False,False
P0217,False,False,False,False
P0218,False,False,False,True
P0219,False,False,False,False
P0220,False,False,False,False
P0221,False,True,False,False
P0222,False,False,False,False
P0223,False,False,False,False
P0224,False,False,False,False
P0225,False,False,False,False
P0226,False,False,False,False
P0227,True,False,False,False
P0228,False,False,False,False
P0229,False,False,False,False
P0230,False,True,False,False
P0231,False,False,False,False
P0232,False,False,False,False
P0233,False,False,False,False
P0234,False,False,False,True
P0235,False,False,False,False
P0236,False,False,False,False
P0237,False,False,False,False
P0238,False,False,False,False
P0239,True,False,False,False
P0240,False,False,False,False
P0241,False,False,False,False
P0242,False,False,False,False
P0243,False,False,False,False
P0244,False,True,False,False
P0245,False,False,False,False
P0246,False,False,False,False
P0247,False,False,False,False
P0248,False,False,False,False
P0249,False,False,False,False
P0250,False,False,False,False
P0251,False,False,False,False
P0252,False,False,False,False
P0253,False,False,False,False
P0254,False,False,False,False
P0255,False,False,False,True
P0256,False,False,False,False
P0257,False,False,False,False
P0258,False,False,False,False
P0259,False,False,False,False
P0260,False,False,False,True
P0261,False,True,False,True
P0262,False,False,False,False
P0263,False,False,False,True
P0264,False,False,False,False
P0265,False,False,False,False
P0266,False,False,False,False
P0267,False,False,False,False
P0268,False,False,False,False
P0269,False,False,False,False
P0270,True,False,False,False
P0271,False,False,False,False
P0272,False,False,False,False
P0273,False,False,False,False
P0274,False,False,False,False
P0275,False,False,False,False
P0276,False,False,False,False
P0277,False,False,False,False
P0278,False,False,False,False
P0279,False,False,False,False
P0280,False,False,False,False
P0281,False,False,False,False
P0282,False,False,False,True
P0283,False,False,False,False
P0284,False,False,False,True
P0285,False,False,False,False
P0286,False,False,False,False
P0287,False,False,False,False
P0288,False,False,False,False
P0289,False,False,False,True
P0290,False,False,False,False
P0291,False,False,False,False
P0292,False,False,False,False
P0293,False,False,False,False
P0294,False,False,False,False
P0295,False,False,False,False
P0296,False,False,False,False
P0297,False,False,False,False
P0298,False,False,False,False
P0299,False,False,True,False
P0300,False,False,False,True
P0301,False,False,False,False
P0302,False,False,False,False
P0303,False,False,False,False
P0304,False,False,False,False
P0305,False,False,False,False
P0306,False,False,False,True
P0307,False,False,False,True
P0308,False,False,False,True
P0309,False,True,False,False
P0310,False,False,False,True
P0311,False,False,False,False
P0312,False,False,False,False
P0313,False,False,False,False
P0314,False,True,False,False
P0315,False,True,False,False
P0316,False,False,False,True
P0317,False,False,False,False
P0318,False,True,False,False
P0319,False,False,False,True
P0320,False,False,False,False
P0321,False,False,False,True
P0322,False,False,False,False
P0323,False,True,False,False
P0324,False,False,False,False
P0325,False,False,False,False
P0326,False,False,False,False
P0327,False,False,False,False
P0328,False,False,False,False
P0329,False,False,False,False
P0330,False,False,False,False
P0331,False,False,False,False
P0332,False,False,False,False
P0333,False,False,False,True
P0334,False,False,False,False
P0335,False,False,False,False
P0336,False,False,False,False
P0337,False,False,False,False
P0338,False,False,False,False
P0339,False,False,False,False
P0340,False,False,False,False
P0341,False,False,False,False
P0342,False,False,False,False
P0343,False,False,False,False
P0344,False,False,False,False
P0345,False,False,False,False
P0346,False,False,False,False
P0347,False,False,False,False
P0348,False,False,False,False
P0349,False,False,False,False
P0350,False,False,True,False
P0351,False,False,False,True
P0352,False,False,False,False
P0353,False,False,False,True
P0354,False,False,False,False
P0355,False,False,False,False
P0356,False,True,False,False
P0357,False,False,False,False
P0358,False,False,False,False
P0359,False,False,False,False
P0360,False,False,False,False
P0361,False,False,False,False
P0362,False,False,False,False
P0363,False,False,False,False
P0364,False,True,False,False
P0365,False,False,False,False
P0366,False,False,False,False
P0367,False,False,False,False
P0368,False,False,False,False
P0369,False,False,False,False
P0370,False,False,False,False
P0371,False,False,False,False
P0372,False,False,False,True
P0373,False,False,False,False
P0374,False,False,False,False
P0375,False,False,False,False
P0376,False,False,False,False
P0377,False,False,False,True
P0378,False,False,False,False
P0379,False,False,False,False
P0380,False,False,False,False
P0381,False,False,False,False
P0382,False,True,False,False
P0383,False,False,False,False
P0384,False,False,True,False
P0385,False,False,False,False
P0386,False,True,False,False
P0387,False,False,False,False
P0388,False,False,False,False
P0389,False,False,False,False
P0390,False,True,False,False
P0391,False,False,False,False
P0392,False,False,False,False
P0393,False,False,False,False
P0394,False,True,True,True
P0395,True,False,False,False
P0396,False,False,False,False
P0397,False,False,False,True
P0398,False,False,False,False
P0399,False,False,False,False
P0400,False,False,False,False
P0401,False,False,False,True
P0402,False,False,False,False
P0403,False,False,False,False
P0404,False,False,False,False
P0405,False,False,False,False
P0406,False,False,False,False
P0407,False,False,False,False
P0408,False,False,False,False
P0409,False,False,False,False
P0410,False,False,False,False
P0411,False,False,False,False
P0412,False,False,False,False
P0413,False,False,False,False
P0414,False,False,False,True
P0415,True,False,False,False
P0416,False,False,False,False
P0417,False,False,False,False
P0418,False,False,False,False
P0419,False,False,False,True
P0420,False,False,False,False
P0421,False,False,False,False
P0422,True,False,False,False
P0423,True,False,False,False
P0424,False,False,False,False
P0425,False,False,False,False
P0426,False,False,False,False
P0427,False,False,False,True
P0428,False,False,False,False
P0429,False,False,False,False
P0430,False,False,False,False
P0431,False,False,False,False
P0432,False,False,False,False
P0433,False,True,False,False
P0434,False,False,False,False
P0435,False,False,False,True
P0436,False,False,False,False
P0437,False,False,False,False
P0438,False,False,False,False
P0439,False,False,False,True
P0440,False,False,False,False
P0441,False,False,False,False
P0442,False,True,False,False
P0443,False,False,False,True
P0444,False,False,False,False
P0445,False,False,False,False
P0446,False,False,False,False
P0447,False,False,False,False
P0448,False,False,False,False
P0449,False,False,False,False
P0450,False,False,False,False
P0451,False,False,False,False
P0452,False,False,False,False
P0453,False,False,False,True
P0454,False,False,False,True
P0455,False,False,False,False
P0456,False,False,False,False
P0457,False,False,False,False
P0458,False,False,False,False
P0459,False,False,False,True
P0460,False,False,False,False
P0461,False,False,False,False
P0462,False,False,False,False
P0463,False,False,False,True
P0464,False,False,False,False
P0465,False,False,False,False
P0466,False,False,False,False
P0467,False,False,False,False
P0468,False,False,False,False
P0469,False,False,False,False
P0470,False,False,False,False
P0471,False,False,False,False
P0472,False,False,False,False
P0473,False,False,False,False
P0474,False,False,False,False
P0475,False,False,False,False
P0476,False,False,False,False
P0477,False,False,False,False
P0478,False,False,False,False
P0479,False,False,False,False
P0480,False,False,False,False
P0481,False,False,False,False
P0482,False,False,False,False
P0483,False,False,False,False
P0484,False,False,False,False
P0485,True,False,False,False
P0486,False,True,False,False
P0487,False,False,False,False
P0488,False,False,False,False
P0489,False,False,False,False
P0490,False,False,False,False
P0491,False,False,False,False
P0492,False,False,False,True
P0493,False,False,False,False
P0494,False,False,False,False
P0495,False,False,False,False
P0496,False,False,False,False
P0497,False,False,False,False
P0498,False,False,False,False
P0499,False,False,False,False
P0500,False,False,False,False
P0501,False,False,False,False
P0502,False,False,False,False
P0503,False,False,False,True
P0504,False,False,False,False
P0505,False,False,False,False
P0506,False,False,False,False
P0507,False,False,False,False
P0508,False,False,False,False
P0509,False,False,False,False
P0510,False,False,False,False
P0511,False,False,False,False
P0512,False,False,False,False
P0513,False,False,False,False
P0514,False,False,False,False
P0515,False,False,False,False
P0516,False,False,False,False
P0517,False,False,False,False
P0518,False,False,False,False
P0519,True,False,False,False
P0520,False,False,False,False
P0521,False,False,False,False
P0522,False,False,False,False
P0523,False,False,False,False
P0524,False,False,False,False
P0525,False,False,False,False
P0526,False,False,False,False
P0527,False,False,False,False
P0528,False,False,False,False
P0529,False,False,False,False
P0530,False,False,False,False
P0531,False,False,False,True
P0532,False,False,False,True
P0533,False,False,False,False
P0534,False,False,True,False
P0535,True,False,False,False
P0536,False,False,False,False
P0537,False,False,False,False
P0538,False,False,False,False
P0539,False,False,True,False
P0540,False,False,False,False
P0541,False,False,False,False
P0542,False,False,False,False
P0543,False,False,False,False
P0544,False,False,False,False
P0545,False,False,False,False
P0546,False,False,False,False
P0547,False,False,False,False
P0548,False,False,False,False
P0549,False,False,False,False
P0550,False,False,False,False
P0551,False,False,False,False
P0552,False,False,False,False
P0553,False,False,False,False
P0554,False,False,False,False
P0555,False,False,False,False
P0556,False,False,False,False
P0557,False,False,True,False
P0558,False,False,False,False
P0559,False,False,False,False
P0560,False,False,False,False
P0561,False,False,False,False
P0562,False,False,False,False
P0563,False,False,False,False
P0564,False,False,False,False
P0565,False,False,False,False
P0566,False,False,False,False
P0567,False,False,False,False
P0568,False,True,False,False
P0569,False,False,False,False
P0570,False,False,False,False
P0571,False,False,True,False
P0572,False,False,False,False
P0573,False,False,False,False
P0574,False,False,False,False
P0575,False,False,False,False
P0576,False,False,False,False
P0577,False,False,False,False
P0578,False,False,False,False
P0579,False,False,False,False
P0580,False,False,False,True
P0581,False,False,True,False
P0582,False,False,False,False
P0583,False,False,False,False
P0584,False,False,False,False
P0585,False,False,True,False
P0586,False,False,False,False
P0587,False,False,False,False
P0588,False,False,False,False
P0589,False,False,False,False
P0590,True,False,False,False
P0591,False,False,False,False
P0592,False,True,False,False
P0593,False,False,False,False
P0594,False,False,False,True
P0595,True,False,False,True
P0596,False,False,False,False
P0597,False,False,False,False
P0598,False,False,False,False
P0599,False,False,False,False
P0600,False,False,False,False
P0601,False,False,False,False
P0602,False,False,False,False
P0603,False,False,False,False
P0604,False,False,False,False
P0605,False,False,False,False
P0606,False,False,False,True
P0607,False,False,False,False
P0608,False,False,False,False
P0609,False,False,False,False
P0610,False,False,False,False
P0611,False,False,False,False
P0612,False,False,False,False
P0613,False,False,False,False
P0614,False,False,False,False
P0615,False,False,False,False
P0616,False,False,False,False
P0617,False,True,False,False
P0618,False,False,False,False
P0619,False,False,False,False
P0620,False,True,False,False
P0621,False,False,False,False
P0622,False,False,False,False
P0623,False,False,False,False
P0624,False,False,False,False
P0625,False,False,False,False
P0626,False,False,False,False
P0627,False,False,False,False
P0628,False,False,False,False
P0629,False,False,False,False
P0630,False,False,False,False
P0631,False,False,False,False
P0632,False,False,False,False
P0633,True,False,False,False
P0634,False,False,False,False
P0635,False,False,False,False
P0636,False,False,False,True
P0637,False,False,False,False
P0638,False,False,False,False
P0639,False,False,False,False
P0640,False,False,False,False
P0641,False,False,False,False
P0642,False,False,False,True
P0643,False,False,False,False
P0644,False,False,False,False
P0645,False,False,False,True
P0646,False,False,False,False
P0647,True,False,False,False
P0648,False,False,False,False
P0649,False,False,False,False
P0650,True,False,False,False
P0651,False,False,False,False
P0652,False,False,False,False
P0653,False,False,False,False
P0654,False,False,False,False
P0655,False,False,False,False
P0656,False,False,False,True
P0657,False,False,False,False
P0658,False,False,False,False
P0659,False,False,False,False
P0660,False,True,False,True
P0661,False,False,False,False
P0662,False,False,False,False
P0663,False,False,False,False
P0664,False,False,False,False
P0665,False,False,False,False
P0666,False,False,False,False
P0667,False,False,False,False
P0668,False,False,False,False
P0669,False,True,False,False
P0670,False,False,False,False
P0671,False,False,False,False
P0672,False,False,False,False
P0673,False,False,False,False
P0674,False,False,False,False
P0675,False,False,False,False
P0676,False,False,False,False
P0677,False,False,False,False
P0678,False,False,False,False
P0679,False,False,False,False
P0680,False,False,False,True
P0681,False,False,False,False
P0682,False,False,False,False
P0683,True,False,False,False
P0684,False,False,False,False
P0685,False,False,False,False
P0686,False,False,False,True
P0687,False,False,False,False
P0688,False,False,False,False
P0689,False,False,False,False
P0690,False,False,False,False
P0691,False,False,False,True
P0692,False,False,False,False
P0693,False,False,False,True
P0694,False,False,False,False
P0695,False,False,False,False
P0696,False,False,False,False
P0697,False,False,False,False
P0698,False,False,False,True
P0699,False,False,False,True
P0700,False,False,False,False
P0701,False,False,False,False
P0702,False,False,False,False
P0703,False,False,False,False
P0704,False,False,False,False
P0705,False,False,False,True
P0706,False,False,False,False
P0707,False,False,False,False
P0708,False,False,False,False
P0709,False,False,False,False
P0710,False,False,False,False
P0711,False,False,False,False
P0712,False,False,False,False
P0713,False,False,False,False
P0714,False,False,False,False
P0715,False,False,False,False
P0716,False,False,False,False
P0717,False,False,False,False
P0718,False,False,False,False
P0719,False,False,True,False
P0720,False,False,False,False
P0721,False,True,False,False
P0722,False,False,False,False
P0723,True,False,False,False
P0724,False,False,False,False
P0725,False,False,False,False
P0726,False,True,False,False
P0727,False,False,False,False
P0728,False,False,False,False
P0729,False,True,False,False
P0730,False,False,False,False
P0731,False,False,True,False
P0732,False,True,False,False
P0733,False,False,False,False
P0734,False,False,False,False
P0735,False,False,False,False
P0736,False,False,False,False
P0737,False,False,False,False
P0738,False,False,False,False
P0739,False,False,False,False
P0740,False,False,False,False
P0741,True,False,False,False
P0742,False,False,False,False
P0743,False,True,False,False
P0744,True,False,False,False
P0745,False,False,False,True
P0746,False,False,False,False
P0747,False,False,False,False
P0748,False,False,False,False
P0749,False,False,False,False
P0750,False,False,False,False
P0751,False,False,False,True
P0752,False,False,False,False
P0753,False,False,False,False
P0754,False,False,False,False
P0755,False,False,False,False
P0756,False,False,False,False
P0757,False,False,False,False
P0758,False,False,False,False
P0759,False,False,False,False
P0760,False,False,False,False
P0761,False,False,False,False
P0762,False,False,False,False
P0763,False,False,False,True
P0764,False,False,False,False
P0765,False,False,False,True
P0766,True,False,False,False
P0767,False,False,False,False
P0768,True,False,False,False
P0769,False,False,False,False
P0770,False,False,False,False
P0771,False,False,False,False
P0772,False,False,False,False
P0773,False,False,False,False
P0774,False,False,False,False
P0775,True,False,False,False
P0776,False,False,False,False
P0777,False,False,False,False
P0778,False,False,False,True
P0779,False,False,False,False
P0780,False,False,False,False
P0781,False,False,False,True
P0782,False,False,False,False
P0783,False,False,False,False
P0784,False,False,False,False
P0785,False,False,False,False
P0786,False,False,False,False
P0787,False,False,False,False
P0788,False,False,False,False
P0789,False,False,False,False
P0790,False,False,False,False
P0791,False,False,False,False
P0792,False,False,False,False
P0793,False,False,False,True
P0794,False,False,False,False
P0795,True,False,False,False
P0796,False,False,False,False
P0797,True,False,False,False
P0798,False,False,False,False
P0799,False,False,False,False
P0800,False,False,False,False
P0801,False,False,False,True
P0802,False,False,False,False
P0803,False,False,False,False
P0804,False,False,False,False
P0805,False,False,False,True
P0806,False,False,False,False
P0807,False,False,False,False
P0808,False,False,False,False
P0809,False,False,False,False
P0810,False,False,False,False
P0811,True,False,False,False
P0812,True,False,False,False
P0813,False,False,False,False
P0814,False,False,False,True
P0815,False,False,True,False
P0816,False,False,False,False
P0817,False,False,False,False
P0818,False,False,False,False
P0819,False,False,False,False
P0820,False,False,False,False
P0821,False,False,False,False
P0822,False,False,False,False
P0823,False,False,False,False
P0824,False,False,False,True
P0825,False,False,False,False
P0826,True,False,False,False
P0827,False,False,False,False
P0828,False,False,False,False
P0829,False,False,False,False
P0830,False,False,False,False
P0831,False,False,False,False
P0832,False,False,False,False
P0833,False,False,False,False
P0834,False,False,False,False
P0835,False,False,False,False
P0836,False,False,False,False
P0837,False,True,False,False
P0838,False,False,False,True
P0839,False,False,False,False
P0840,False,False,False,False
P0841,True,True,False,False
P0842,False,False,False,False
P0843,False,False,False,False
P0844,False,False,False,False
P0845,False,False,False,False
P0846,False,False,False,False
P0847,False,False,False,False
P0848,False,False,False,False
P0849,False,False,False,False
P0850,False,False,False,False
P0851,False,False,False,False
P0852,False,False,False,False
P0853,False,False,False,False
P0854,False,False,False,False
P0855,False,False,False,False
P0856,False,False,False,False
P0857,False,False,False,False
P0858,False,False,False,False
P0859,False,False,False,False
P0860,False,False,False,True
P0861,False,False,False,False
P0862,False,False,False,True
P0863,False,False,False,False
P0864,False,False,False,False
P0865,False,False,False,False
P0866,False,False,False,False
P0867,False,False,False,False
P0868,False,False,False,False
P0869,False,False,False,False
P0870,False,False,False,False
P0871,False,False,False,False
P0872,True,False,False,False
P0873,False,False,True,False
P0874,False,False,False,False
P0875,False,False,False,False
P0876,False,False,False,False
P0877,False,False,False,True
P0878,False,False,False,False
P0879,False,False,False,True
P0880,False,False,True,False
P0881,False,False,False,False
P0882,False,False,False,False
P0883,False,False,False,False
P0884,False,False,False,False
P0885,False,False,False,False
P0886,False,False,False,True
P0887,False,False,True,False
P0888,False,False,False,False
P0889,False,False,False,False
P0890,False,False,False,False
P0891,False,False,False,False
P0892,False,False,False,False
P0893,False,False,False,False
P0894,False,True,False,False
P0895,False,False,False,False
P0896,False,False,False,False
P0897,False,False,False,False
P0898,False,False,False,False
P0899,False,False,False,False
P0900,False,True,False,False
P0901,False,False,False,False
P0902,False,True,False,False
P0903,False,False,False,False
P0904,False,False,False,False
P0905,False,False,False,False
P0906,False,False,False,False
P0907,False,False,False,False
P0908,False,False,False,False
P0909,False,False,False,False
P0910,False,False,False,False
P0911,False,True,False,False
P0912,False,False,False,False
P0913,False,False,False,False
P0914,False,False,False,False
P0915,False,False,False,False
P0916,False,False,False,False
P0917,False,False,False,False
P0918,False,False,False,False
P0919,False,False,False,False
P0920,False,False,False,False
P0921,False,False,False,False
P0922,False,False,True,False
P0923,False,False,False,False
P0924,False,False,False,False
P0925,False,False,False,False
P0926,False,True,False,False
P0927,False,False,False,False
P0928,False,False,False,False
P0929,False,True,False,False
P0930,False,False,False,False
P0931,False,False,False,False
P0932,False,False,False,False
P0933,False,False,False,False
P0934,False,False,False,True
P0935,False,False,False,False
P0936,False,False,False,False
P0937,False,False,False,False
P0938,False,False,False,False
P0939,False,False,False,False
P0940,False,True,True,True
P0941,False,False,False,True
P0942,False,False,False,False
P0943,False,False,False,False
P0944,False,False,False,False
P0945,False,False,False,False
P0946,False,False,False,False
P0947,False,False,False,False
P0948,False,False,False,True
P0949,False,True,False,False
P0950,False,False,False,False
P0951,False,False,False,False
P0952,False,True,False,False
P0953,False,False,False,False
P0954,False,False,False,False
P0955,False,False,False,True
P0956,False,False,False,False
P0957,False,False,False,False
P0958,False,False,True,False
P0959,False,False,False,False
P0960,False,False,False,False
P0961,False,False,False,False
P0962,False,False,False,False
P0963,False,False,False,False
P0964,False,False,False,False
P0965,False,False,False,False
P0966,False,False,False,True
P0967,False,False,False,False
P0968,False,False,False,False
P0969,False,False,False,False
P0970,False,False,False,False
P0971,False,False,False,False
P0972,True,False,False,False
P0973,False,False,False,False
P0974,False,False,False,False
P0975,False,False,False,True
P0976,False,False,False,False
P0977,False,False,False,True
P0978,False,False,False,False
P0979,False,False,False,False
P0980,False,False,False,False
P0981,False,False,False,True
P0982,False,False,False,False
P0983,False,False,False,False
P0984,False,False,False,False
P0985,False,False,False,False
P0986,False,False,False,True
P0987,False,False,False,False
P0988,False,False,False,False
P0989,False,False,False,False
P0990,False,False,False,False
P0991,False,False,False,False
P0992,False,False,False,False
P0993,False,False,False,True
P0994,False,False,False,False
P0995,False,False,False,False
P0996,False,False,False,True
P0997,False,False,False,True
P0998,True,False,False,False
P0999,False,False,False,False
P1000,False,False,False,False
